Module,Run_Type,Run_Start_ticks,Run_Start_sec,Unused1,Unused2
0,0x501,-1107295228,1487800173,--,--
No,Ch,Hit,Time_H,Time_L,Energy
511,0,0x110121,0,335387520,11190
512,0,0x110121,0,336042880,11194
513,0,0x110121,0,336698240,11093
514,0,0x110121,0,337353600,11824
515,0,0x110121,0,338008960,11198
516,0,0x110121,0,338664320,11190
517,0,0x110121,0,339319680,11809
518,0,0x110121,0,339975040,11205
519,0,0x110121,0,340630400,11193
520,0,0x110121,0,341285760,11184
521,0,0x110121,0,341941120,11186
522,0,0x110121,0,342596480,11678
523,0,0x110121,0,343251840,11192
524,0,0x110121,0,343907200,11188
525,0,0x110121,0,344562560,11178
526,0,0x110121,0,345217920,11582
527,0,0x110121,0,345873280,11184
528,0,0x110121,0,346528640,11200
529,0,0x110121,0,347184000,11186
530,0,0x110121,0,347839360,11181
531,0,0x110121,0,348494720,11184
532,0,0x110121,0,349150080,11190
533,0,0x110121,0,349805440,11186
534,0,0x110121,0,350460800,11193
535,0,0x110121,0,351116160,11192
536,0,0x110121,0,351771520,11190
537,0,0x110121,0,352426880,11192
538,0,0x110121,0,353082240,11888
539,0,0x110121,0,353737600,11186
540,0,0x110121,0,354392960,11507
541,0,0x110121,0,355048320,11190
542,0,0x110121,0,355703680,10643
543,0,0x110121,0,356359040,11192
544,0,0x110121,0,357014400,8727
545,0,0x110121,0,357669760,11189
546,0,0x110121,0,358325120,11189
547,0,0x110121,0,358980480,11188
548,0,0x110121,0,359635840,11184
549,0,0x110121,0,360291200,11197
550,0,0x110121,0,360946560,11195
551,0,0x110121,0,361601920,11194
552,0,0x110121,0,362257280,11192
553,0,0x110121,0,362912640,11200
554,0,0x110121,0,363568000,11198
555,0,0x110121,0,364223360,11188
556,0,0x110121,0,364878720,11187
557,0,0x110121,0,365534080,11188
558,0,0x110121,0,366189440,11906
559,0,0x110121,0,366844800,11196
560,0,0x110121,0,367500160,8565
561,0,0x110121,0,368155520,11190
562,0,0x110121,0,368810880,10300
563,0,0x110121,0,369466240,11190
564,0,0x110121,0,370121600,11194
565,0,0x110121,0,370776960,11197
566,0,0x110121,0,371432320,11189
567,0,0x110121,0,372087680,11190
568,0,0x110121,0,372743040,11207
569,0,0x110121,0,373398400,11192
570,0,0x110121,0,374053760,11186
571,0,0x110121,0,374709120,11192
572,0,0x110121,0,375364480,11184
573,0,0x110121,0,376019840,11189
574,0,0x110121,0,376675200,11188
575,0,0x110121,0,377330560,11193
576,0,0x110121,0,377985920,11190
577,0,0x110121,0,378641280,11183
578,0,0x110121,0,379296640,11203
579,0,0x110121,0,379952000,11197
580,0,0x110121,0,380607360,11193
581,0,0x110121,0,381262720,11191
582,0,0x110121,0,381918080,11196
583,0,0x110121,0,382573440,11197
584,0,0x110121,0,383228800,11196
585,0,0x110121,0,383884160,11191
586,0,0x110121,0,384539520,11196
587,0,0x110121,0,385194880,11196
588,0,0x110121,0,385850240,11194
589,0,0x110121,0,386505600,11188
590,0,0x110121,0,387160960,11194
591,0,0x110121,0,387816320,11183
592,0,0x110121,0,388471680,11189
593,0,0x110121,0,389127040,11180
594,0,0x110121,0,389782400,11192
595,0,0x110121,0,390437760,11895
596,0,0x110121,0,391093120,11191
597,0,0x110121,0,391748480,11186
598,0,0x110121,0,392403840,11188
599,0,0x110121,0,393059200,11195
600,0,0x110121,0,393714560,11809
601,0,0x110121,0,394369920,11196
602,0,0x110121,0,395025280,11197
603,0,0x110121,0,395680640,11186
604,0,0x110121,0,396336000,11192
605,0,0x110121,0,396991360,11689
606,0,0x110121,0,397646720,11185
607,0,0x110121,0,398302080,11191
608,0,0x110121,0,398957440,11196
609,0,0x110121,0,399612800,11181
610,0,0x110121,0,400268160,11191
611,0,0x110121,0,400923520,9183
612,0,0x110121,0,401578880,11196
613,0,0x110121,0,402234240,11188
614,0,0x110121,0,402889600,11187
615,0,0x110121,0,403544960,11188
616,0,0x110121,0,404200320,10874
617,0,0x110121,0,404855680,11194
