sample,adc0,adc1,adc2,adc3
 834,54799,1311,1283,1200
 835,54808,1311,1283,1202
 836,54801,1310,1284,1202
 837,54800,1313,1281,1201
 838,54809,1310,1283,1201
 839,54798,1312,1279,1203
 840,54810,1311,1285,1201
 841,54800,1312,1282,1203
 842,54791,1310,1284,1200
 843,54807,1312,1283,1202
 844,54809,1311,1283,1200
 845,54804,1313,1282,1202
 846,54800,1310,1284,1203
 847,54797,1311,1283,1202
 848,54801,1311,1282,1201
 849,54806,1313,1282,1202
 850,54805,1310,1283,1202
 851,54799,1311,1284,1202
 852,54812,1309,1283,1203
 853,54810,1313,1282,1202
 854,54806,1312,1281,1202
 855,54805,1310,1283,1200
 856,54805,1314,1282,1204
 857,54811,1310,1283,1202
 858,54804,1311,1281,1202
 859,54807,1309,1283,1200
 860,54809,1313,1282,1202
 861,54807,1311,1285,1200
 862,54813,1312,1283,1200
 863,54813,1309,1282,1201
 864,54811,1312,1283,1201
 865,54808,1311,1284,1200
 866,54811,1311,1281,1202
 867,54817,1311,1284,1201
 868,54812,1312,1281,1202
 869,54815,1312,1285,1201
 870,54811,1313,1283,1201
 871,54810,1311,1281,1203
 872,54809,1312,1281,1200
 873,54808,1312,1285,1203
 874,54806,1313,1282,1201
 875,54803,1311,1284,1201
 876,54803,1312,1281,1200
 877,54799,1311,1284,1202
 878,54806,1312,1283,1201
 879,54805,1311,1284,1202
 880,54809,1312,1282,1201
 881,54805,1310,1284,1202
 882,54806,1313,1282,1199
 883,54812,1310,1282,1202
 884,54812,1312,1281,1202
 885,54812,1312,1284,1202
 886,54804,1312,1282,1200
 887,54804,1313,1284,1201
 888,54804,1310,1282,1200
 889,54807,1314,1284,1202
 890,54803,1311,1282,1201
 891,54800,1312,1282,1201
 892,54799,1308,1281,1200
 893,54802,1313,1284,1203
 894,54817,1310,1283,1202
 895,54809,1314,1283,1201
 896,54799,1311,1282,1202
 897,54798,1311,1284,1203
 898,54797,1309,1282,1202
 899,54807,1313,1283,1204
 900,54802,1312,1283,1201
 901,54803,1312,1286,1202
 902,54802,1312,1282,1202
 903,54799,1311,1284,1201
 904,54817,1312,1281,1202
 905,54808,1309,1284,1201
 906,54806,1314,1282,1204
 907,54816,1311,1284,1202
 908,54815,1312,1281,1201
 909,54820,1309,1284,1199
 910,54823,1313,1281,1201
 911,54818,1311,1284,1202
 912,54814,1314,1284,1201
 913,54814,1313,1284,1203
 914,54817,1311,1282,1202
 915,54818,1310,1285,1201
 916,54824,1311,1283,1203
 917,54823,1311,1283,1202
 918,54818,1310,1283,1199
 919,54821,1313,1283,1201
 920,54824,1310,1283,1202
 921,54825,1312,1283,1202
 922,54825,1310,1283,1200
 923,54819,1312,1284,1203
 924,54825,1309,1282,1199
 925,54831,1311,1284,1200
 926,54829,1312,1284,1201
